titulo,folio,precio,condicion,envio,opiniones,vendedor_url,tipo_vendedor,ventas_vendedor
Xiaomi Redmi 12 Dual SIM 128 GB negro 4 GB RAM,,649,Nuevo | 1 vendido,a todo el país,,,MercadoLíder Gold,+500
iPhone 14 Pro Max (128gb),#618926550,,,,5.0,,MercadoLíder Gold,+5mil
Tecno Pova 4 Dual SIM 256 GB azul fluorita 8 GB RAM,,989,Nuevo | 2 vendidos,a todo el país,5.0,,,+500
Infinix Note 30 Pro Dual SIM 256 GB variable gold 8 GB RAM,,1.149,Nuevo | 1 vendido,a todo el país,,,MercadoLíder Gold,+1000
Samsung Galaxy A53 5G 5G Dual SIM 256 GB negro asombroso 8 GB RAM,,1.599,Nuevo | +50 vendidos,a todo el país,4.6,,MercadoLíder Gold,+5mil
Tecno Spark 10 Pro Dual SIM 256 GB negro brillante 8 GB RAM,,769,Nuevo | +5 vendidos,a todo el país,5.0,,,+500
Xiaomi Mi 10T 5G Dual SIM 128 GB plata lunar 6 GB RAM,,1.077,Nuevo | +25 vendidos,a todo el país,4.0,,,+500
Samsung Galaxy A24 128 GB verde claro 8 GB RAM,,1.049,Nuevo | 1 vendido,a todo el país,5.0,,MercadoLíder Gold,+5mil
Poco X5 Pro 8gb 256gb 5g Negro,,1.349,Nuevo | 1 vendido,a todo el país,,,MercadoLíder Gold,+5mil
Samsung Galaxy S20 FE 128 GB cloud white 6 GB RAM,,1.699,Nuevo | +5 vendidos,a todo el país,4.6,,MercadoLíder Gold,+5mil
Poco X5 Pro 5g 256gb 8gb Negro,,1.286,Nuevo | +5 vendidos,a todo el país,,,,+500
Samsung Galaxy A03 64 GB negro 4 GB RAM,,499,Nuevo | 2 vendidos,a todo el país,4.4,,MercadoLíder Gold,+5mil
Samsung Galaxy A34 5G 5G Dual SIM 128 GB awesome graphite 6 GB RAM,,1.167,Nuevo | +5 vendidos,a todo el país,4.6,,MercadoLíder Gold,+100
Realme 8 5G Dual SIM 128 GB negro supersónico 4 GB RAM,,779,Nuevo | +5 vendidos,a todo el país,,,MercadoLíder Gold,+5mil
Xiaomi Redmi 10A Dual SIM 32 GB plata cromada 2 GB RAM,,429,Nuevo | +100 vendidos,a todo el país,3.9,,MercadoLíder Gold,+5mil
Apple iPhone 12 Pro Max (256 GB) - Grafito,,4.999,Nuevo | +50 vendidos,a todo el país,,,MercadoLíder Gold,+5mil
Xiaomi Pocophone Poco X3 Pro Dual SIM 128 GB negro fantasma 6 GB RAM,,1.379,Nuevo | +1000 vendidos,a todo el país,4.8,,MercadoLíder Gold,+5mil
Xiaomi Redmi Note 11 Pro 5G (Snapdragon) Dual SIM 128 GB gris grafito 8 GB RAM,,1.299,Nuevo | +25 vendidos,a todo el país,4.9,,MercadoLíder Gold,+5mil
Xiaomi Pocophone Poco F5 Pro 5g 256gb 12gb Ram Nuevo,#643204006,,,,,,MercadoLíder Gold,+5mil
